Key,SSS_NEW
S004T12,S0084
S004T12,S0084
S004T12,S0084
S004T12,S0084
S004T12,S0084
S004T12,S0084
S004T12,S0084
S004T12,S0084
S004T12,S0084
S004T12,S0084
S004T12,S0084
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T13,S0085
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T14,S0086
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T15,S0087
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T16,S0088
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T17,S0089
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T18,S0090
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T19,S0091
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T20,S0092
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T21,S0093
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T22,S0094
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T23,S0095
S004T24,S0096
S004T24,S0096
S004T24,S0096
S004T24,S0096
S004T24,S0096
S004T24,S0096
S004T24,S0096
S004T24,S0096
S004T24,S0096
S004T24,S0096
S004T24,S0096
S004T24,S0096
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T01,S0097
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T02,S0098
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T03,S0099
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T04,S0100
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T05,S0101
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T06,S0102
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T07,S0103
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T08,S0104
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T09,S0105
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T10,S0106
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T11,S0107
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T12,S0108
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T13,S0109
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T14,S0110
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T15,S0111
S005T16,S0112
