"RRR","AAA"
"NL","NL_VRE-OFF2_RG3_50"
"NL","NL_VRE-ONS_RG1_20-30"
"NL","NL_VRE-ONS_RG2_20-30"
"NL","NL_VRE-ONS_RG3_20-30"
"NL","NL_VRE-ONS_RG1_30-40"
"NL","NL_VRE-ONS_RG2_30-40"
"NL","NL_VRE-ONS_RG3_30-40"
"NL","NL_VRE-ONS_RG1_40-50"
"NL","NL_VRE-ONS_RG2_40-50"
"NL","NL_VRE-ONS_RG3_40-50"
"NL","NL_VRE-ONS_RG1_50"
"NL","NL_VRE-ONS_RG2_50"
"NL","NL_VRE-ONS_RG3_50"
"NL","NL_VRE-ONS-LW_RG1_20-30"
"NL","NL_VRE-ONS-LW_RG2_20-30"
"NL","NL_VRE-ONS-LW_RG3_20-30"
"NL","NL_VRE-ONS-LW_RG1_30-40"
"NL","NL_VRE-ONS-LW_RG2_30-40"
"NL","NL_VRE-ONS-LW_RG3_30-40"
"NL","NL_VRE-ONS-LW_RG1_40-50"
"NL","NL_VRE-ONS-LW_RG2_40-50"
"NL","NL_VRE-ONS-LW_RG3_40-50"
"NL","NL_VRE-ONS-LW_RG1_50"
"NL","NL_VRE-ONS-LW_RG2_50"
"NL","NL_VRE-ONS-LW_RG3_50"
"NL","NL_IND-HT-NODH"
"NL","NL_IND-HT-DH"
"NL","NL_IND-LT-NODH"
"NL","NL_IND-LT-DH"
"NL","NL_IND-MT-NODH"
"NL","NL_IND-MT-DH"
"NL","NL_IDVU-HOTWTR"
"NL","NL_IDVU-SPACEHEAT"
"NO1","NO1_A1"
"NO1","NO1_A2"
"NO1","NO1_A3"
"NO1","NO1_VRE-ONS_RG1_20-30"
"NO1","NO1_VRE-ONS_RG2_20-30"
"NO1","NO1_VRE-ONS_RG3_20-30"
"NO1","NO1_VRE-ONS_RG1_30-40"
"NO1","NO1_VRE-ONS_RG2_30-40"
"NO1","NO1_VRE-ONS_RG3_30-40"
"NO1","NO1_VRE-ONS_RG1_40-50"
"NO1","NO1_VRE-ONS_RG2_40-50"
"NO1","NO1_VRE-ONS_RG3_40-50"
"NO1","NO1_VRE-ONS_RG1_50"
"NO1","NO1_VRE-ONS_RG2_50"
"NO1","NO1_VRE-ONS_RG3_50"
"NO1","NO1_VRE-ONS-LW_RG1_20-30"
"NO1","NO1_VRE-ONS-LW_RG2_20-30"
"NO1","NO1_VRE-ONS-LW_RG3_20-30"
"NO1","NO1_VRE-ONS-LW_RG1_30-40"
"NO1","NO1_VRE-ONS-LW_RG2_30-40"
"NO1","NO1_VRE-ONS-LW_RG3_30-40"
"NO1","NO1_VRE-ONS-LW_RG1_40-50"
"NO1","NO1_VRE-ONS-LW_RG2_40-50"
"NO1","NO1_VRE-ONS-LW_RG3_40-50"
"NO1","NO1_VRE-ONS-LW_RG1_50"
"NO1","NO1_VRE-ONS-LW_RG2_50"
"NO1","NO1_VRE-ONS-LW_RG3_50"
"NO1","NO1_IND-HT-NODH"
"NO1","NO1_IND-HT-DH"
"NO1","NO1_IND-LT-NODH"
"NO1","NO1_IND-LT-DH"
"NO1","NO1_IND-MT-NODH"
"NO1","NO1_IND-MT-DH"
"NO1","NO1_IDVU-HOTWTR"
"NO1","NO1_IDVU-SPACEHEAT"
"NO2","NO2_A1"
"NO2","NO2_A2"
"NO2","NO2_VRE-OFF1_RG2_20-30"
"NO2","NO2_VRE-OFF1_RG3_20-30"
"NO2","NO2_VRE-OFF1_RG2_30-40"
"NO2","NO2_VRE-OFF1_RG3_30-40"
"NO2","NO2_VRE-OFF1_RG2_40-50"
"NO2","NO2_VRE-OFF1_RG3_40-50"
"NO2","NO2_VRE-OFF1_RG2_50"
"NO2","NO2_VRE-OFF1_RG3_50"
"NO2","NO2_VRE-ONS_RG1_20-30"
"NO2","NO2_VRE-ONS_RG2_20-30"
"NO2","NO2_VRE-ONS_RG3_20-30"
"NO2","NO2_VRE-ONS_RG1_30-40"
"NO2","NO2_VRE-ONS_RG2_30-40"
"NO2","NO2_VRE-ONS_RG3_30-40"
"NO2","NO2_VRE-ONS_RG1_40-50"
"NO2","NO2_VRE-ONS_RG2_40-50"
"NO2","NO2_VRE-ONS_RG3_40-50"
"NO2","NO2_VRE-ONS_RG1_50"
"NO2","NO2_VRE-ONS_RG2_50"
"NO2","NO2_VRE-ONS_RG3_50"
"NO2","NO2_VRE-ONS-LW_RG1_20-30"
"NO2","NO2_VRE-ONS-LW_RG2_20-30"
"NO2","NO2_VRE-ONS-LW_RG3_20-30"
"NO2","NO2_VRE-ONS-LW_RG1_30-40"
"NO2","NO2_VRE-ONS-LW_RG2_30-40"
"NO2","NO2_VRE-ONS-LW_RG3_30-40"
"NO2","NO2_VRE-ONS-LW_RG1_40-50"
"NO2","NO2_VRE-ONS-LW_RG2_40-50"
"NO2","NO2_VRE-ONS-LW_RG3_40-50"
"NO2","NO2_VRE-ONS-LW_RG1_50"
"NO2","NO2_VRE-ONS-LW_RG2_50"
"NO2","NO2_VRE-ONS-LW_RG3_50"
"NO2","NO2_IND-HT-NODH"
"NO2","NO2_IND-HT-DH"
"NO2","NO2_IND-LT-NODH"
"NO2","NO2_IND-LT-DH"
"NO2","NO2_IND-MT-NODH"
"NO2","NO2_IND-MT-DH"
"NO2","NO2_IDVU-HOTWTR"
"NO2","NO2_IDVU-SPACEHEAT"
"NO3","NO3_A1"
"NO3","NO3_A2"
"NO3","NO3_A3"
"NO3","NO3_VRE-OFF1_RG1_20-30"
"NO3","NO3_VRE-OFF1_RG2_20-30"
"NO3","NO3_VRE-OFF1_RG3_20-30"
"NO3","NO3_VRE-OFF1_RG1_30-40"
"NO3","NO3_VRE-OFF1_RG2_30-40"
"NO3","NO3_VRE-OFF1_RG3_30-40"
"NO3","NO3_VRE-OFF1_RG1_40-50"
"NO3","NO3_VRE-OFF1_RG2_40-50"
"NO3","NO3_VRE-OFF1_RG3_40-50"
"NO3","NO3_VRE-OFF1_RG1_50"
"NO3","NO3_VRE-OFF1_RG2_50"
"NO3","NO3_VRE-OFF1_RG3_50"
"NO3","NO3_VRE-ONS_RG1_20-30"
"NO3","NO3_VRE-ONS_RG2_20-30"
"NO3","NO3_VRE-ONS_RG3_20-30"
"NO3","NO3_VRE-ONS_RG1_30-40"
"NO3","NO3_VRE-ONS_RG2_30-40"
"NO3","NO3_VRE-ONS_RG3_30-40"
"NO3","NO3_VRE-ONS_RG1_40-50"
"NO3","NO3_VRE-ONS_RG2_40-50"
